#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
19/01/2020,00:22:58.26,0.08,40.035,0.23,140.545,0.35,4.6,3.4,0.4v,NORTHERN AKITA PREF  A
19/01/2020,00:26:52.56,0.11,38.334,0.45,142.085,0.72,29.7,1.7,0.8V,E OFF MIYAGI PREF  k
19/01/2020,00:28:03.44,0.15,39.66,0.34,142.501,0.87,35.7,1.4,0.6v,E OFF IWATE PREF  k
19/01/2020,00:29:29.29,0.17,39.846,0.29,142.48,0.83,22.8,1.5,1.3V,E OFF IWATE PREF  A
19/01/2020,00:31:48.95,0.06,35.44,0.19,133.826,0.15,9.4,0.6,-0.6v,EASTERN TOTTORI PREF  k
19/01/2020,00:35:45.95,0.09,33.604,0.27,133.718,0.2,17.9,0.7,-0.2v,MID KOCHI PREF  A
19/01/2020,00:36:45.11,0.41,36.391,1.29,141.204,1.84,37,,1.3v,E OFF IBARAKI PREF  k
19/01/2020,00:40:41.36,0.04,36.775,0.09,140.566,0.2,9.8,0.4,1.0V,NORTHERN IBARAKI PREF  A
19/01/2020,00:41:49.92,0.07,38.605,0.25,139.439,0.3,10.3,1.1,1.6V,OFF N NIIGATA PREF  A
19/01/2020,00:42:43.47,0.06,34.895,0.11,135.393,0.16,13.8,0.6,0.9V,SE HYOGO PREF  k
19/01/2020,00:47:24.02,0.03,40.018,0.1,140.452,0.18,6.7,0.8,1.5V,NORTHERN AKITA PREF  A
19/01/2020,00:49:59.16,0.03,36.702,0.07,140.598,0.16,10.3,0.4,2.7V,NORTHERN IBARAKI PREF  K
19/01/2020,00:50:28.99,0.1,32.136,0.26,130.073,0.41,9.7,1.1,0.2V,AMAKUSA REGION  k
19/01/2020,00:53:15.19,0.12,32.635,0.57,132.26,0.25,28.6,2.2,0.9v,HYUGANADA REGION  A
